route_id,origin_id,destination_id,node_id,point_number,point_type
1,121955469,57844131,57844131,1,destination
1,121955469,57844131,121955469,2,origin
2,60181031,483561169,483561169,1,destination
2,60181031,483561169,918209348,2,other
2,60181031,483561169,918544568,3,other
2,60181031,483561169,53657788,4,other
2,60181031,483561169,853788440,5,other
2,60181031,483561169,60181031,6,origin
3,923117674,316419034,316419034,1,destination
3,923117674,316419034,918209348,2,other
3,923117674,316419034,918544568,3,other
3,923117674,316419034,314585116,4,other
3,923117674,316419034,923117674,5,origin
4,688983600,57844131,57844131,1,destination
4,688983600,57844131,918209348,2,other
4,688983600,57844131,832722601,3,other
4,688983600,57844131,387175347,4,other
4,688983600,57844131,180858621,5,other
4,688983600,57844131,688983600,6,origin
5,195343551,581313122,581313122,1,destination
5,195343551,581313122,20404874,2,other
5,195343551,581313122,918544568,3,other
5,195343551,581313122,314585116,4,other
5,195343551,581313122,163230001,5,other
5,195343551,581313122,195343551,6,origin
6,911087259,57844131,57844131,1,destination
6,911087259,57844131,918209348,2,other
6,911087259,57844131,918544568,3,other
6,911087259,57844131,53657788,4,other
6,911087259,57844131,911087259,5,origin
7,581456121,316419034,316419034,1,destination
7,581456121,316419034,179552971,2,other
7,581456121,316419034,581456121,3,origin
8,254121760,993578920,993578920,1,destination
8,254121760,993578920,918209348,2,other
8,254121760,993578920,918544568,3,other
8,254121760,993578920,314585116,4,other
8,254121760,993578920,163230001,5,other
8,254121760,993578920,419974127,6,other
8,254121760,993578920,254121760,7,origin
9,977818249,483561169,483561169,1,destination
9,977818249,483561169,918209348,2,other
9,977818249,483561169,918544568,3,other
9,977818249,483561169,53657788,4,other
9,977818249,483561169,977818249,5,origin
10,816569071,483561169,483561169,1,destination
10,816569071,483561169,918209348,2,other
10,816569071,483561169,832722601,3,other
10,816569071,483561169,387175347,4,other
10,816569071,483561169,816569071,5,origin
11,801371964,57844131,57844131,1,destination
11,801371964,57844131,918209348,2,other
11,801371964,57844131,918544568,3,other
11,801371964,57844131,314585116,4,other
11,801371964,57844131,163230001,5,other
11,801371964,57844131,801371964,6,origin
12,28049792,483561169,483561169,1,destination
12,28049792,483561169,918209348,2,other
12,28049792,483561169,832722601,3,other
12,28049792,483561169,387175347,4,other
12,28049792,483561169,28049792,5,origin
13,19271566,993578920,993578920,1,destination
13,19271566,993578920,918209348,2,other
13,19271566,993578920,832722601,3,other
13,19271566,993578920,387175347,4,other
13,19271566,993578920,180858621,5,other
13,19271566,993578920,19271566,6,origin
14,28049792,993578920,993578920,1,destination
14,28049792,993578920,918209348,2,other
14,28049792,993578920,832722601,3,other
14,28049792,993578920,387175347,4,other
14,28049792,993578920,28049792,5,origin
15,779715387,483561169,483561169,1,destination
15,779715387,483561169,779715387,2,origin
16,911087259,993578920,993578920,1,destination
16,911087259,993578920,918209348,2,other
16,911087259,993578920,918544568,3,other
16,911087259,993578920,53657788,4,other
16,911087259,993578920,911087259,5,origin
17,213341250,993578920,993578920,1,destination
17,213341250,993578920,918209348,2,other
17,213341250,993578920,918544568,3,other
17,213341250,993578920,53657788,4,other
17,213341250,993578920,853788440,5,other
17,213341250,993578920,213341250,6,origin
