route_id,supplier_account,customer_account,point_account,point_number,point_type
1,121955469,57844131,57844131,1,plant
1,121955469,57844131,121955469,2,supplier
2,60181031,483561169,483561169,1,plant
2,60181031,483561169,918209348,2,pod
2,60181031,483561169,918544568,3,pol
2,60181031,483561169,53657788,4,platform
2,60181031,483561169,853788440,5,platform
2,60181031,483561169,60181031,6,supplier
3,923117674,316419034,316419034,1,plant
3,923117674,316419034,918209348,2,pod
3,923117674,316419034,918544568,3,pol
3,923117674,316419034,314585116,4,platform
3,923117674,316419034,923117674,5,supplier
4,688983600,57844131,57844131,1,plant
4,688983600,57844131,918209348,2,pod
4,688983600,57844131,832722601,3,pol
4,688983600,57844131,387175347,4,platform
4,688983600,57844131,180858621,5,platform
4,688983600,57844131,688983600,6,supplier
5,195343551,581313122,581313122,1,plant
5,195343551,581313122,20404874,2,pod
5,195343551,581313122,918544568,3,pol
5,195343551,581313122,314585116,4,platform
5,195343551,581313122,163230001,5,platform
5,195343551,581313122,195343551,6,supplier
6,911087259,57844131,57844131,1,plant
6,911087259,57844131,918209348,2,pod
6,911087259,57844131,918544568,3,pol
6,911087259,57844131,53657788,4,platform
6,911087259,57844131,911087259,5,supplier
7,581456121,316419034,316419034,1,plant
7,581456121,316419034,179552971,2,platform
7,581456121,316419034,581456121,3,supplier
8,254121760,993578920,993578920,1,plant
8,254121760,993578920,918209348,2,pod
8,254121760,993578920,918544568,3,pol
8,254121760,993578920,314585116,4,platform
8,254121760,993578920,163230001,5,platform
8,254121760,993578920,419974127,6,platform
8,254121760,993578920,254121760,7,supplier
9,977818249,483561169,483561169,1,plant
9,977818249,483561169,918209348,2,pod
9,977818249,483561169,918544568,3,pol
9,977818249,483561169,53657788,4,platform
9,977818249,483561169,977818249,5,supplier
10,816569071,483561169,483561169,1,plant
10,816569071,483561169,918209348,2,pod
10,816569071,483561169,832722601,3,pol
10,816569071,483561169,387175347,4,platform
10,816569071,483561169,816569071,5,supplier
11,801371964,57844131,57844131,1,plant
11,801371964,57844131,918209348,2,pod
11,801371964,57844131,918544568,3,pol
11,801371964,57844131,314585116,4,platform
11,801371964,57844131,163230001,5,platform
11,801371964,57844131,801371964,6,supplier
12,28049792,483561169,483561169,1,plant
12,28049792,483561169,918209348,2,pod
12,28049792,483561169,832722601,3,pol
12,28049792,483561169,387175347,4,platform
12,28049792,483561169,28049792,5,supplier
13,19271566,993578920,993578920,1,plant
13,19271566,993578920,918209348,2,pod
13,19271566,993578920,832722601,3,pol
13,19271566,993578920,387175347,4,platform
13,19271566,993578920,180858621,5,platform
13,19271566,993578920,19271566,6,supplier
14,28049792,993578920,993578920,1,plant
14,28049792,993578920,918209348,2,pod
14,28049792,993578920,832722601,3,pol
14,28049792,993578920,387175347,4,platform
14,28049792,993578920,28049792,5,supplier
15,779715387,483561169,483561169,1,plant
15,779715387,483561169,779715387,2,supplier
16,911087259,993578920,993578920,1,plant
16,911087259,993578920,918209348,2,pod
16,911087259,993578920,918544568,3,pol
16,911087259,993578920,53657788,4,platform
16,911087259,993578920,911087259,5,supplier
17,213341250,993578920,993578920,1,plant
17,213341250,993578920,918209348,2,pod
17,213341250,993578920,918544568,3,pol
17,213341250,993578920,53657788,4,platform
17,213341250,993578920,853788440,5,platform
17,213341250,993578920,213341250,6,supplier
18,211284884,57844131,57844131,1,plant
18,211284884,57844131,918209348,2,pod
18,211284884,57844131,918544568,3,pol
18,211284884,57844131,314585116,4,platform
18,211284884,57844131,163230001,5,platform
18,211284884,57844131,419974127,6,platform
18,211284884,57844131,211284884,7,supplier
19,211284884,581313122,581313122,1,plant
19,211284884,581313122,20404874,2,pod
19,211284884,581313122,918544568,3,pol
19,211284884,581313122,314585116,4,platform
19,211284884,581313122,163230001,5,platform
19,211284884,581313122,419974127,6,platform
19,211284884,581313122,211284884,7,supplier
20,756320960,581313122,581313122,1,plant
20,756320960,581313122,756320960,2,supplier
21,688983600,316419034,316419034,1,plant
21,688983600,316419034,918209348,2,pod
21,688983600,316419034,832722601,3,pol
21,688983600,316419034,387175347,4,platform
21,688983600,316419034,180858621,5,platform
21,688983600,316419034,688983600,6,supplier
22,987683090,993578920,993578920,1,plant
22,987683090,993578920,918209348,2,pod
22,987683090,993578920,918544568,3,pol
22,987683090,993578920,314585116,4,platform
22,987683090,993578920,163230001,5,platform
22,987683090,993578920,987683090,6,supplier
23,919854899,483561169,483561169,1,plant
23,919854899,483561169,918209348,2,pod
23,919854899,483561169,832722601,3,pol
23,919854899,483561169,387175347,4,platform
23,919854899,483561169,919854899,5,supplier
24,919854899,57844131,57844131,1,plant
24,919854899,57844131,918209348,2,pod
24,919854899,57844131,832722601,3,pol
24,919854899,57844131,387175347,4,platform
24,919854899,57844131,919854899,5,supplier
25,731584786,57844131,57844131,1,plant
25,731584786,57844131,918209348,2,pod
25,731584786,57844131,918544568,3,pol
25,731584786,57844131,53657788,4,platform
25,731584786,57844131,853788440,5,platform
25,731584786,57844131,731584786,6,supplier
26,987033478,483561169,483561169,1,plant
26,987033478,483561169,987033478,2,supplier
27,911087259,483561169,483561169,1,plant
27,911087259,483561169,918209348,2,pod
27,911087259,483561169,918544568,3,pol
27,911087259,483561169,53657788,4,platform
27,911087259,483561169,911087259,5,supplier
28,992268167,483561169,483561169,1,plant
28,992268167,483561169,918209348,2,pod
28,992268167,483561169,918544568,3,pol
28,992268167,483561169,53657788,4,platform
28,992268167,483561169,188609814,5,pod
28,992268167,483561169,832722601,6,pol
28,992268167,483561169,387175347,7,platform
28,992268167,483561169,992268167,8,supplier
29,614789091,483561169,483561169,1,plant
29,614789091,483561169,918209348,2,pod
29,614789091,483561169,832722601,3,pol
29,614789091,483561169,387175347,4,platform
29,614789091,483561169,614789091,5,supplier
30,31326096,483561169,483561169,1,plant
30,31326096,483561169,918209348,2,pod
30,31326096,483561169,918544568,3,pol
30,31326096,483561169,53657788,4,platform
30,31326096,483561169,31326096,5,supplier
31,615472538,316419034,316419034,1,plant
31,615472538,316419034,918209348,2,pod
31,615472538,316419034,918544568,3,pol
31,615472538,316419034,53657788,4,platform
31,615472538,316419034,615472538,5,supplier
32,662491052,483561169,483561169,1,plant
32,662491052,483561169,918209348,2,pod
